"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Chipre","CYP","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","2280","2284","2293","2294","2078","2101","2163","2320","2263","2200","2193","2203","2221","2221","2202","2239","2382","2574","2703","2846","3069","3286","3410","3456","3528","3452","4202","","3517","3608","3701","3349","3319","3506","3455","3627","3697","3850","3921","3985","4045","3940","3977","3967","4513","4597","4640","4786","5063","","",
"República Checa","CZE","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","24881","25498","25809","25913","25593","25032","24878","23206","23795","","21999","23225","24216","24521","24090","23618","22742","21539","23385","23145","23630","24307","27502","27420","26689","28356","","37498","35786","38196","35611","34795","33737","32558","30952","30226","24713","24893","24890","24769","24880","25161","25979","","","","","","","","",
"Alemania","DEU","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215414","224299","213489","223235","224517","221634","221318","239206","238345","235993","235179","232937","234107","238428","242969","239761","242329","241845","252845","250704","249602.84375","232750.015625","235570.796875","238361.109375","240170","244874","250559.4375","","",
"Djibouti","DJI","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","180","228","206","229","251","268","","","358","360","419","460","423","496","511","","617","655","680","711","742","769","714","787","881","1005","1096","960","966","","","","","1410","","1598","1597","1657","1627","","1731","1821","1852","1935","1906","1986","2033","2144","","2310","2437",
"Dominica","DMA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","504","448","466","","462","","","","","","","","","","","","","","439","414","","","","","","","608","602","617","589","550","519","519","517","499","500","510","508","511","516","529","540","538","560","","","525","520","",
"Dinamarca","DNK","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","34807","34744","34376","32607","31862","31052","","28501","32900","32900","33100","","","36400","37050","37956","39854","","","","","","","","","","","","","43538","","","","46511","46321","","",
"República Dominicana","DOM","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","13796","14782","15216","15821","16824","17932","","","","","","","23578","","27751","","","","","","","","","","","","","41329","42184","43941","","42929","","50791","53015","54838","56744","66539","52937","51615","51464","54322","54959","61659","71463","69495","66255","64810","65556.1171875","65041.13671875","",
"Argelia","DZA","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","","47178","","","","60179","65043","70498","77009","80853","85499","88481","94216","100288","109173","115242","125034","133250","139875","139917","144945","151262","154685","161802","164982","166771","169010","170956","","169519","170562","169559","170039","167529","170031","171471","171402","170775","169701","141421","141994","144537","149036","155144","159115","164684","169931","176809","182153","222838","200749","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","4818027","4979586.5","5508111.5","5841145.5","6174286","6487883","6802001.5","6818118","6843160","6907596.5","7168811","7380905.5","7569786.5","7643638.5","7680889","7715582.5","7778408","7863853","7937931","8037315.5","8122223","8147916.5","8123067.5","8149882","8194090","8284374.5","8380586.5","8482149","8586746","8628130","8704831","8662933","8440569","8782561","9080290","9078234","9107180","9293151","9145138","9267662","9338354","9330217","9353507","9561145","9543567","9716493","9974163","9775625","9853109","10117659","10287477","",
"inicial del dividendo demográfico","EAR","Educación de nivel primario, maestros","SE.PRM.TCHR","","","","","","","","","","","3870563.75","3974638.75","4118792.5","4268907","4388116.5","4574392","4708024.5","4800952","4855957.5","5024391","5241190","5503652","5777894.5","6218139.5","6519937.5","6742880.5","6998854.5","7107648","7342361","7781580","7823957.5","8028032","8182570.5","8414402","8612128","8761109","8905025","9079283","9181603","9309470","9431442","9489324","9680327","9978831","10152302","10350764","10585380","10877338","10956125","11215523","11566636","11866257","12138654","12866703","12893345","13148732","13563284","13199134","12887879","13347533","13703362","",
